transaction_id,user_id,amount,timestamp,product,payment_method
82b5052b-68ec-4e43-9f7f-301f85190f1d,3333,462.67,2025-05-02 06:39:30,white,UPI
a9de71b5-18a5-4cb2-81a4-250a633e97dc,4604,479.19,2025-05-05 03:24:35,in,UPI
b7239d5f-fe88-43f1-b936-482bfd10a981,2820,986.42,2025-05-18 15:06:31,end,Credit Card
e89bb33a-9eda-4c2e-9879-5cd04d1e9c60,7437,249.87,2025-05-14 10:38:47,color,Credit Card
43c52c3c-e4fc-41cc-97ae-7c50fb9b59d7,1062,547.87,2025-05-03 20:04:40,why,Credit Card
cca5e823-43a6-4eb6-a73c-77bb7ae0ad71,1346,791.92,2025-05-01 07:28:07,usually,Debit Card
750cd334-7b26-4cc0-b36a-e96c021331fb,7303,503.37,2025-05-05 17:12:10,film,Debit Card
dba94a9f-f97f-4b89-ab6e-d5ae8ad626e9,5556,602.55,2025-05-06 11:36:33,which,UPI
89df75e6-3105-45fe-965a-74561d9f0976,8491,219.35,2025-05-09 17:16:07,teach,Debit Card
078174d9-c688-4c6b-856e-0198e575420d,9357,95.6,2025-05-05 21:18:57,necessary,Wallet
a7796fd4-fa86-429a-9488-fe326f1256b2,7643,747.85,2025-05-02 17:40:59,between,Wallet
cf1500ce-3289-498e-bee0-962304433b48,3032,878.51,2025-05-04 22:30:43,west,Wallet
3028b35f-c230-435d-b518-67457f2b32aa,6653,891.94,2025-05-17 17:17:56,way,UPI
774e08ef-b9df-4041-873a-4a81bcc0703a,9203,237.64,2025-05-10 10:10:45,now,Credit Card
31696efc-0076-4ff2-a4ee-389e06757af6,2455,649.06,2025-05-17 14:10:26,at,UPI
