transaction_id,user_id,amount,timestamp,product,payment_method
7edaac5c-d577-450e-a787-3a14d520c639,7156,689.13,2025-05-21 06:02:39,about,UPI
7f1569e9-ccfe-439f-9df8-cea2cdd6c10e,5166,492.09,2025-05-23 01:02:45,join,Credit Card
9242ddb1-4955-4d63-89c2-56fb7ba203d0,5460,168.71,2025-05-14 08:52:15,region,UPI
105558e7-7baf-4697-966d-03ec5e8d2818,4801,828.46,2025-05-18 12:58:45,key,Credit Card
05cba1d6-5897-4bc3-9840-588fc1cc51ec,8979,586.86,2025-05-11 05:46:24,idea,Credit Card
226d8b96-1446-42e0-b38d-6d423674128a,2134,64.78,2025-05-09 16:06:41,arm,UPI
c5be0e54-76ec-4509-836c-b8f66a644bcd,5350,214.8,2025-05-09 12:23:23,industry,Wallet
fc7a9383-0a00-4300-b616-b86ef2e28f2d,5314,247.44,2025-05-04 00:41:24,deep,Wallet
d1094c4b-e48c-47da-af56-751ed7a30ef4,6359,248.16,2025-05-19 09:10:05,treat,Wallet
4f9000d9-4272-4648-a8fb-0dd657616250,3149,890.81,2025-05-08 01:49:50,form,UPI
d8deaa80-c7be-4f5b-af4b-ac3754880fba,4418,317.72,2025-05-22 16:36:03,them,Debit Card
b687105a-33be-4c78-9cb1-e9293fe32abc,5195,743.4,2025-05-13 17:39:27,another,Wallet
b3fb0254-006f-4ba4-902b-b4d46ddc06d9,6882,862.98,2025-05-17 11:52:09,but,Credit Card
6611095f-16f3-4af5-bdd7-d69aed769e79,3715,199.35,2025-05-03 18:42:56,heavy,Wallet
c0a3dddb-c960-406f-baa9-550067c8d2b2,2392,978.73,2025-05-02 06:27:21,opportunity,Credit Card
